id,lemma,pronunciation,transliteration,definition,derivation,strongsNumber,englishWord
1855,דְּקַק,dek-ak',dᵉqaq,to crumble or (trans.) crush,(Aramaic) corresponding to H1854 (דָּקַק);,H1855,break to pieces.
1856,דָּקַר,daw-kar',dâqar,"to stab; by analogy, to starve; figuratively, to revile",a primitive root;,H1856,"pierce, strike (thrust) through, wound."
1857,דֶּקֶר,deh'-ker,Deqer,"Deker, an Israelite",from H1856 (דָּקַר); a stab;,H1857,Dekar.
1858,דַּר,dar,dar,"properly, a pearl (from its sheen as rapidly turned); by analogy, pearl-stone, i.e. mother-of-pearl or alabaster",apparently from the same as H1865 (דְּרוֹר);,H1858,[idiom] white.
1859,דָּר,dawr,dâr,an age,(Aramaic) corresponding to H1755 (דּוֹר);,H1859,generation.
1860,דְּרָאוֹן,der-aw-one',dᵉrâʼôwn,an object of aversion,or דֵּרָאוֹן; from an unused root (meaning to repulse);,H1860,"abhorring, contempt."
1861,דׇּרְבוֹן,dor-bone',dorbôwn,a goad,(also dor-bawn'); of uncertain derivation;,H1861,goad.
1862,דַּרְדַּע,dar-dah',Dardaʻ,"Darda, an Israelite",apparently from H1858 (דַּר) and H1843 (דֵּעַ); pearl of knowledge;,H1862,Darda.
1863,דַּרְדַּר,dar-dar',dardar,a thorn,of uncertain derivation;,H1863,thistle.
1864,דָּרוֹם,daw-rome',dârôwm,the south; poet. the south wind,of uncertain derivation;,H1864,south.
1865,דְּרוֹר,der-ore',dᵉrôwr,"freedom; hence, spontaneity of outflow, and so clear",from an unused root (meaning to move rapidly);,H1865,"liberty, pure."
1866,דְּרוֹר,der-ore',dᵉrôwr,"the swift, a kind of swallow","the same as H1865 (דְּרוֹר), applied to a bird;",H1866,swallow.
1867,דָּֽרְיָוֵשׁ,daw-reh-yaw-vaysh',Dârᵉyâvêsh,"Darejavesh, a title (rather than name) of several Persian kings",of Persian origin;,H1867,Darius.
1868,דָּֽרְיָוֵשׁ,daw-reh-yaw-vaysh',Dârᵉyâvêsh,"{Darejavesh, a title (rather than name) of several Persian kings}",(Aramaic) corresponding to H1867 (דָּֽרְיָוֵשׁ),H1868,Darius.
1869,דָּרַךְ,daw-rak',dârak,"to tread; by implication, to walk; also to string abow (by treading on it in bending)",a primitive root;,H1869,"archer, bend, come, draw, go (over), guide, lead (forth), thresh, tread (down), walk."
1870,דֶּרֶךְ,deh'-rek,derek,"a road (as trodden); figuratively, a course of life or mode of action, often adverb",from H1869 (דָּרַךְ);,H1870,"along, away, because of, [phrase] by, conversation, custom, (east-) ward, journey, manner, passenger, through, toward, (high-) (path-) way(-side), whither(-soever)."
1871,דַּרְכְּמוֹן,dar-kem-one',darkᵉmôwn,"a 'drachma', or coin",of Persian origin;,H1871,dram.
1872,דְּרַע,der-aw',dᵉraʻ,an arm,(Aramaic) corresponding to H2220 (זְרוֹעַ);,H1872,arm.
1873,דָּרַע,daw-rah',Dâraʻ,"Dara, an Israelite",probably a contraction from H1862 (דַּרְדַּע);,H1873,Dara.
1874,דַּרְקוֹן,dar-kone',Darqôwn,"Darkon, one of 'Solomon's servants'",of uncertain derivation;,H1874,Darkon.
1875,דָּרַשׁ,daw-rash',dârash,"properly, to tread or frequent; usually to follow (for pursuit or search); by implication, to seek or ask; specifically to worship",a primitive root;,H1875,"ask, [idiom] at all, care for, [idiom] diligently, inquire, make inquisition, (necro-) mancer, question, require, search, seek (for, out), [idiom] surely."
1876,דָּשָׁא,daw-shaw',dâshâʼ,to sprout,a primitive root;,H1876,"bring forth, spring."
1877,דֶּשֶׁא,deh'-sheh,desheʼ,"a sprout; by analogy, grass",from H1876 (דָּשָׁא);,H1877,"(tender) grass, green, (tender) herb."
1878,דָּשֵׁן,daw-shane',dâshên,"to be fat; transitively, to fatten (or regard as fat); specifically to anoint; figuratively, to satisfy;  to remove (fat) ashes (of sacrifices)",a primitive root; also denominatively (from H1880 (דֶּשֶׁן)),H1878,"accept, anoint, take away the (receive) ashes (from), make (wax) fat."
1879,דָּשֵׁן,daw-shane',dâshên,"fat; figuratively, rich, fertile",from H1878 (דָּשֵׁן);,H1879,fat.
1880,דֶּשֶׁן,deh'-shen,deshen,"the fat; abstractly fatness, i.e. (figuratively) abundance; specifically the (fatty) ashes of sacrifices",from H1878 (דָּשֵׁן);,H1880,"ashes, fatness."
1881,דָּת,dawth,dâth,a royal edict or statute,of uncertain (perhaps foreign) derivation;,H1881,"commandment, commission, decree, law, manner."
1882,דָּת,dawth,dâth,{a royal edict or statute},(Aramaic) corresponding to H1881 (דָּת);,H1882,"decree, law."
1883,דֶּתֶא,deh'-thay,detheʼ,"{a sprout; by analogy, grass}",(Aramaic) corresponding to H1877 (דֶּשֶׁא),H1883,tender grass.
1884,דְּתָבָר,deth-aw-bawr',dᵉthâbâr,meaning one skilled in law; a judge,(Aramaic) of Persian origin;,H1884,counsellor.
1885,דָּתָן,daw-thawn',Dâthân,"Dathan, an Israelite",of uncertain derivation;,H1885,Dathan.
1886,דֹּתָן,do'-thawn,Dôthân,"Dothan, a place in Palestine","or (Aramaic dual) דֹּתַיִן; (Genesis 37:17), of uncertain derivation;",H1886,Dothan. h
1887,הֵא,hay,hêʼ,lo!,a primitive particle;,H1887,"behold, lo."
1888,הֵא,hay,hêʼ,{lo!},"(Aramaic) or הָא; (Aramaic), corresponding to H1887 (הֵא)",H1888,"even, lo."
1889,הֶאָח,heh-awkh',heʼâch,aha!,from H1887 (הֵא) and H253 (אָח);,H1889,"ah, aha, ha."
1890,הַבְהָב,hab-hawb',habhâb,"gift (in sacrifice), i.e. holocaust",by reduplication from H3051 (יָהַב);,H1890,offering.
1891,הָבַל,haw-bal',hâbal,"to be vain in act, word, or expectation; specifically to lead astray",a primitive root;,H1891,"be (become, make) vain."
1892,הֶבֶל,heh'bel,hebel,"emptiness or vanity; figuratively, something transitory and unsatisfactory; often used as an adverb",or (rarely in the abs.) הֲבֵל; from H1891 (הָבַל);,H1892,"[idiom] altogether, vain, vanity."
1893,הֶבֶל,heh'-bel,Hebel,"Hebel, the son of Adam",the same as H1892 (הֶבֶל);,H1893,Abel.
1894,הֹבֶן,ho'-ben,hôben,ebony,"only in plural, from an unused root meaning to be hard;",H1894,ebony.
1895,הָבַר,haw-bar',hâbar,to be a horoscopist,a primitive root of uncertain (perhaps foreign) derivation;,H1895,[phrase] (astro-) loger.
1896,הֵגֵא,hay-gay',Hêgêʼ,"Hege or Hegai, a eunuch of Xerxes",or (by permutation) הֵגַי; probably of Persian origin;,H1896,"Hegai, Hege."
1897,הָגָה,daw-gaw',hâgâh,"to murmur (in pleasure or anger); by implication, to ponder",a primitive root (compare H1901 (הָגִיג));,H1897,"imagine, meditate, mourn, mutter, roar, [idiom] sore, speak, study, talk, utter."
1898,הָגָה,haw-gaw',hâgâh,to remove,a primitive root;,H1898,"stay, stay away."
1899,הֶגֶה,heh'-geh,hegeh,"a muttering (in sighing, thought, or as thunder)",from H1897 (הָגָה);,H1899,"mourning, sound, tale."
1900,הָגוּת,haw-gooth',hâgûwth,musing,from H1897 (הָגָה);,H1900,meditation.
1901,הָגִיג,haw-gheeg',hâgîyg,"properly, a murmur, i.e. complaint",from an unused root akin to H1897 (הָגָה);,H1901,"meditation, musing."
1902,הִגָּיוֹן,hig-gaw-yone',higgâyôwn,"a murmuring sound, i.e. a musical notation (probably similar to the modern affettuoso to indicate solemnity of movement); by implication, a machination",intensive from H1897 (הָגָה);,H1902,"device, Higgaion, meditation, solemn sound."
1903,הָגִין,haw-gheen',hâgîyn,perhaps suitable or turning,of uncertain derivation;,H1903,directly.
1904,הָגָר,haw-gawr',Hâgâr,"Hagar, the mother of Ishmael",of uncertain (perhaps foreign) derivation;,H1904,Hagar.
1905,הַגְרִי,hag-ree',Hagrîy,a Hagrite or member of a certain Arabian clan,or (prolonged) הַגְרִיאxlit Hagrîʼ corrected to Hagrîyʼ; perhaps patronymically from H1904 (הָגָר);,H1905,"Hagarene, Hagarite, Haggeri."
1906,הֵד,hade,hêd,a shout,for H1959 (הֵידָד);,H1906,sounding again.
1907,הַדָּבָר,had-daw-bawr',haddâbâr,a vizier,(Aramaic) probably of foreign origin;,H1907,counsellor.
1908,הֲדַד,had-ad',Hădad,"Hadad, the name of an idol, and of several kings of Edom",probably of foreign origin (compare H111 (אֲדַד));,H1908,Hadad.
1909,הֲדַדְעֶזֶר,had-ad-eh'-zer,Hădadʻezer,"Hadadezer, a Syrian king",from H1908 (הֲדַד) and H5828 (עֵזֶר); Hadad (is his) help;,H1909,Hadadezer. Compare H1928 (הֲדַרְעֶזֶר).
1910,הֲדַדְרִמּוֹן,had-ad-rim-mone',Hădadrimmôwn,"Hadad-Rimmon, a place in Palestine",from H1908 (הֲדַד) and H7417 (רִמּוֹן);,H1910,Hadad-rimmon.
1911,הָדָה,haw-daw',hâdâh,to stretch forth the hand,a primitive root (compare H3034 (יָדָה));,H1911,put.
1912,הֹדוּ,ho'-doo,Hôdûw,Hodu (i.e. Hindustan),of foreign origin;,H1912,India.
1913,הֲדוֹרָם,had-o-rawm',Hădôwrâm,"Hadoram, a son of Joktan, and the tribe descended from him",or הֲדֹרָם; probably of foreign derivation;,H1913,Hadoram.
1914,הִדַּי,hid-dah'ee,Hidday,"Hiddai, an Israelite",of uncertain derivation;,H1914,Hiddai.
1915,הָדַךְ,haw-dak',hâdak,to crush with the foot,a primitive root (compare H1854 (דָּקַק));,H1915,tread down.
1916,הֲדֹם,had-ome',hădôm,a foot stool,from an unused root meaning to stamp upon;,H1916,(foot-) stool.
1917,הַדָּם,had-dawm',haddâm,"something stamped to pieces, i.e. a bit",(Aramaic) from a root corresponding to that of H1916 (הֲדֹם);,H1917,piece.
1918,הֲדַס,had-as',hădaç,the myrtle,of uncertain derivation;,H1918,myrtle (tree).
1919,הֲדַסָּה,had-as-saw',Hădaççâh,Hadassah (or Esther),feminine of H1918 (הֲדַס);,H1919,Hadassah.
1920,הָדַף,haw-daf',Hâdaph,to push away or down,a primitive root;,H1920,"cast away (out), drive, expel, thrust (away)."
1921,הָדַר,haw-dar',hâdar,"to swell up (literally or figuratively, active or passive); by implication, to favor or honour, be high or proud",a primitive root;,H1921,"countenance, crooked place, glorious, honour, put forth."
1922,הֲדַר,had-ar',hădar,to magnify (figuratively),(Aramaic) corresponding to H1921 (הָדַר);,H1922,"glorify, honour."
1923,הֲדַר,had-ar',hădar,magnificence,"(Aramaic) from H1922 (הֲדַר)lemma הֲדַּר extra dagesh, corrected to הֲדַר;",H1923,"honour, majesty."
1924,הֲדַר,had-ar',Hădar,"Hadar, an Edomite",the same as H1926 (הָדָר);,H1924,Hadar.
1925,הֶדֶר,heh'-der,heder,honour; used (figuratively) for the capital city (Jerusalem),from H1921 (הָדַר);,H1925,glory.
1926,הָדָר,haw-dawr',hâdâr,"magnificence, i.e. ornament or splendor",from H1921 (הָדַר);,H1926,"beauty, comeliness, excellency, glorious, glory, goodly, honour, majesty."
1927,הֲדָרָה,had-aw-raw',hădârâh,decoration,feminine of H1926 (הָדָר);,H1927,"beauty, honour."
1928,הֲדַרְעֶזֶר,had-ar-eh'-zer,Hădarʻezer,"Hadarezer,  a Syrian king","from H1924 (הֲדַר) and H5828 (עֵזֶר); Hadar (i.e. Hadad, H1908 (הֲדַד)) is his help; (i.e. Hadadezer, H1909 (הֲדַדְעֶזֶר))",H1928,Hadarezer.
1929,הָהּ,haw,hâhh,ah! expressing grief,a shortened form of H162 (אֲהָהּ);,H1929,woe worth.
1930,הוֹ,ho,hôw,oh!,by permutation from H1929 (הָהּ);,H1930,alas.
1931,הוּא,hoo,hûwʼ,"he (she or it); only expressed when emphatic or without a verb; also (intensively) self, or (especially with the article) the same; sometimes (as demonstrative) this or that; occasionally (instead of copula) as or are","of which the feminine (beyond the Pentateuch) is הִיא; a primitive word, the third person pronoun singular;",H1931,"he, as for her, him(-self), it, the same, she (herself), such, that (...it), these, they, this, those, which (is), who."
1932,הוּא,hoo,hûwʼ,"{he (she or it); self, or (especially with the article) the same; sometimes (as demonstrative) this or that; occasionally (instead of copula) as or are}","(Aramaic) or (feminine) הִיא; (Aramaic), corresponding to H1931 (הוּא)",H1932,"[idiom] are, it, this."
1933,הָוָא,haw-vaw',hâvâʼ,to be (in the sense of existence),"or הָוָה; a primitive root (compare H183 (אָוָה), H1961 (הָיָה)) supposed to mean properly, to breathe;",H1933,"be, [idiom] have."
1934,הָוָא,hav-aw',hâvâʼ,to exist; used in a great variety of applications (especially in connection with other words),"(Aramaic) or הָוָה; (Aramaic), corresponding to H1933 (הָוָא);",H1934,"be, become, [phrase] behold, [phrase] came (to pass), [phrase] cease, [phrase] cleave, [phrase] consider, [phrase] do, [phrase] give, [phrase] have, [phrase] judge, [phrase] keep, [phrase] labour, [phrase] mingle (self), [phrase] put, [phrase] see, [phrase] seek, [phrase] set, [phrase] slay, [phrase] take heed, tremble, [phrase] walk, [phrase] would."
1935,הוֹד,hode,hôwd,grandeur (i.e. an imposing form and appearance),from an unused root;,H1935,"beauty, comeliness, excellency, glorious, glory, goodly, honour, majesty."
1936,הוֹד,hode,Hôwd,"Hod, an Israelite",the same as H1935 (הוֹד);,H1936,Hod.
1937,הוֹדְוָה,ho-dev-aw',Hôwdᵉvâh,"Hodevah (or Hodevjah), an Israelite",a form of H1938 (הוֹדַוְיָה);,H1937,Hodevah.
1938,הוֹדַוְיָה,ho-dav-yaw',Hôwdavyâh,"Hodavjah, the name of three Israelites",from H1935 (הוֹד) and H3050 (יָהּ); majesty of Jah;,H1938,Hodaviah.
1939,הוֹדַיְוָהוּ,ho-dah-yeh-vaw'-hoo,Hôwdayvâhûw,"Hodajvah, an Israelite",a form of H1938 (הוֹדַוְיָה);,H1939,Hodaiah.
1940,הוֹדִיָּה,ho-dee-yaw',Hôwdîyâh,a Jewess,a form for the feminine of H3064 (יְהוּדִי);,H1940,Hodiah.
1941,הוֹדִיָּה,ho-dee-yaw',Hôwdîyâh,"Hodijah, the name of three Israelites",a form of H1938 (הוֹדַוְיָה);,H1941,Hodijah.
1942,הַוָּה,hav-vaw',havvâh,"by implication, of falling); desire; also ruin",from H1933 (הָוָא) (in the sense of eagerly coveting and rushing upon;,H1942,"calamity, iniquity, mischief, mischievous (thing), naughtiness, naughty, noisome, perverse thing, substance, very wickedness."
1943,הֹוָה,ho-vaw',hôvâh,ruin,another form for H1942 (הַוָּה);,H1943,mischief.
1944,הוֹהָם,ho-hawm',Hôwhâm,"Hoham, a Canaanitish king",of uncertain derivation;,H1944,Hoham.
1945,הוֹי,hoh'ee,hôwy,oh!,a prolonged form of H1930 (הוֹ) (akin to H188 (אוֹי));,H1945,"ah, alas, ho, O, woe."
1946,הוּךְ,hook,hûwk,"to go; causatively, to bring",(Aramaic) corresponding to H1981 (הֲלַךְ);,H1946,"bring again, come, go (up)."
1947,הוֹלֵלָה,ho-lay-law',hôwlêlâh,folly,feminine active participle of H1984 (הָלַל);,H1947,madness.
1948,הוֹלֵלוּת,ho-lay-looth',hôwlêlûwth,folly,from active participle of H1984 (הָלַל);,H1948,madness.
1949,הוּם,hoom,hûwm,"to make an uproar, or agitate greatly",a primitive root (compare H2000 (הָמַם));,H1949,"destroy, move, make a noise, put, ring again."
1950,הוֹמָם,ho-mawm',Hôwmâm,"Homam, an Edomitish chieftain",from H2000 (הָמַם); raging;,H1950,Homam. Compare H1967 (הֵימָם).
1951,הוּן,hoon,hûwn,"properly, to be naught, i.e. (figuratively) to be (causatively, act) light",a primitive root;,H1951,be ready.
1952,הוֹן,hone,hôwn,"wealth; by implication, enough",from the same as H1951 (הוּן) in the sense of H202 (אוֹן);,H1952,"enough, [phrase] for nought, riches, substance, wealth."
1953,הוֹשָׁמָע,ho-shaw-maw',Hôwshâmâʻ,"Hoshama, an Israelite",from H3068 (יְהֹוָה) and H8085 (שָׁמַע); Jehovah has heard;,H1953,Hoshama.
1954,הוֹשֵׁעַ,ho-shay'-ah,Hôwshêaʻ,"Hoshea, the name of five Israelites",from H3467 (יָשַׁע); deliverer;,H1954,"Hosea, Hoshea, Oshea."
1955,הוֹשַׁעְיָה,ho-shah-yaw',Hôwshaʻyâh,"Hoshajah, the name of two Israelites",from H3467 (יָשַׁע) and H3050 (יָהּ); Jah has saved;,H1955,Hoshaiah.
1956,הוֹתִיר,ho-theer',Hôwthîyr,"Hothir, an Israelite",from H3498 (יָתַר); he has caused to remain;,H1956,Hothir.
1957,הָזָה,haw-zaw',hâzâh,to dream,a primitive root (compare H2372 (חָזָה));,H1957,sleep.
1958,הִי,he,hîy,lamentation,for H5092 (נְהִי);,H1958,"woe. (For hiyr. See H1931 (הוּא), H1932 (הוּא).)"
1959,הֵידָד,hay-dawd',hêydâd,acclamation,from an unused root (meaning to shout);,H1959,shout(-ing).
1960,הֻיְּדָה,hoo-yed-aw',huyᵉdâh,"properly, an acclaim, i.e. a choir of singers",from the same as H1959 (הֵידָד);,H1960,thanksgiving.
1961,הָיָה,haw-yaw,hâyâh,"to exist, i.e. be or become, come to pass (always emphatic, and not a mere copula or auxiliary)",a primitive root (compare H1933 (הָוָא));,H1961,"beacon, [idiom] altogether, be(-come), accomplished, committed, like), break, cause, come (to pass), do, faint, fall, [phrase] follow, happen, [idiom] have, last, pertain, quit (one-) self, require, [idiom] use."
1962,הַיָּה,hah-yaw',hayâh,ruin,another form for H1943 (הֹוָה);,H1962,calamity.
1963,הֵיךְ,hake,hêyk,how?,another form for H349 (אֵיךְ);,H1963,how.
1964,הֵיכָל,hay-kawl',hêykâl,"a large public building, such as a palace or temple",probably from H3201 (יָכֹל) (in the sense of capacity);,H1964,"palace, temple."
1965,הֵיכַל,hay-kal',hêykal,"{a large public building, such as a palace or temple}",(Aramaic) corresponding to H1964 (הֵיכָל),H1965,"palace, temple."
1966,הֵילֵל,hay-lale',hêylêl,the morning-star,from H1984 (הָלַל) (in the sense of brightness);,H1966,lucifer.
1967,הֵימָם,hay-mawm',Hêymâm,"Hemam, an Idumaean",another form for H1950 (הוֹמָם);,H1967,Hemam.
1968,הֵימָן,hay-mawn',Hêymân,"Heman, the name of at least two Israelites",probably from H539 (אָמַן); faithful;,H1968,Heman.
1969,הִין,heen,hîyn,a hin or liquid measure,probably of Egyptian origin;,H1969,hin.
1970,הָכַר,haw-kar',hâkar,to injure,a primitive root; apparently,H1970,make self strange.
1971,הַכָּרָה,hak-kaw-raw',hakkârâh,"respect, i.e. partiality",from H5234 (נָכַר);,H1971,shew.
1972,הָלָא,haw-law',hâlâʼ,to remove or be remote,probably denominatively from H1973 (הָלְאָה)xlit hâlᵉâh corrected to hâlᵉʼâh;,H1972,cast far off.
1973,הָלְאָה,haw-leh-aw',hâlᵉʼâh,"to the distance, i.e. far away; also (of time) thus far",from the primitive form of the article (hal);,H1973,"back, beyond, (hence,-) forward, hitherto, thence, forth, yonder."
1974,הִלּוּל,hil-lool',hillûwl,a celebration of thanksgiving for harvest,from H1984 (הָלַל) (in the sense of rejoicing);,H1974,"merry, praise."
1975,הַלָּז,hal-lawz',hallâz,this or that,from H1976 (הַלָּזֶה);,H1975,"side, that, this."
1976,הַלָּזֶה,hal-law-zeh',hallâzeh,this very,from the article (see H1973 (הָלְאָה)xlit hâlᵉâh corrected to hâlᵉʼâh) and H2088 (זֶה);,H1976,this.
1977,הַלֵּזוּ,hal-lay-zoo',hallêzûw,that,another form of H1976 (הַלָּזֶה);,H1977,this.
1978,הָלִיךְ,haw-leek',hâlîyk,"a walk, i.e. (by implication) a step",from H1980 (הָלַךְ);,H1978,step.
1979,הֲלִיכָה,hal-ee-kaw',hălîykâh,"a walking; by implication, a procession or march, a caravan",feminine of H1978 (הָלִיךְ);,H1979,"company, going, walk, way."
1980,הָלַךְ,haw-lak',hâlak,"to walk (in a great variety of applications, literally and figuratively)",akin to H3212 (יָלַךְ); a primitive root;,H1980,"(all) along, apace, behave (self), come, (on) continually, be conversant, depart, [phrase] be eased, enter, exercise (self), [phrase] follow, forth, forward, get, go (about, abroad, along, away, forward, on, out, up and down), [phrase] greater, grow, be wont to haunt, lead, march, [idiom] more and more, move (self), needs, on, pass (away), be at the point, quite, run (along), [phrase] send, speedily, spread, still, surely, [phrase] tale-bearer, [phrase] travel(-ler), walk (abroad, on, to and fro, up and down, to places), wander, wax, (way-) faring man, [idiom] be weak, whirl."
1981,הֲלַךְ,hal-ak',hălak,to walk,(Aramaic) corresponding to H1980 (הָלַךְ) (compare H1946 (הוּךְ));,H1981,walk.
1982,הֵלֶךְ,hay'-lek,hêlek,"properly, a journey, i.e. (by implication) a wayfarer; also a flowing",from H1980 (הָלַךְ);,H1982,"[idiom] dropped, traveller."
1983,הֲלָךְ,hal-awk',hălâk,"properly, a journey, i.e. (by implication) toll on goods at aroad",(Aramaic) from H1981 (הֲלַךְ);,H1983,custom.
1984,הָלַל,haw-lal',hâlal,"to be clear (orig. of sound, but usually of color); to shine; hence, to make ashow, to boast; and thus to be (clamorously) foolish; to rave; causatively, to celebrate; also to stultify",a primitive root;,H1984,"(make) boast (self), celebrate, commend, (deal, make), fool(-ish, -ly), glory, give (light), be (make, feign self) mad (against), give in marriage, (sing, be worthy of) praise, rage, renowned, shine."
1985,הִלֵּל,hil-layl',Hillêl,"Hillel, an Israelite",from H1984 (הָלַל); praising (namely God);,H1985,Hillel.
1986,הָלַם,haw-lam',hâlam,"to strike down; by implication, to hammer, stamp, conquer, disband",a primitive root;,H1986,"beat (down), break (down), overcome, smite (with the hammer)."
1987,הֶלֶם,hay'-lem,Helem,"Helem, the name of two Israelites",from H1986 (הָלַם); smiter;,H1987,Helem.
1988,הֲלֹם,hal-ome',hălôm,hither,from the article (see H1973 (הָלְאָה)xlit hâlᵉâh corrected to hâlᵉʼâh);,H1988,"here, hither(-(to)), thither."
1989,הַלְמוּת,hal-mooth',halmûwth,a hammer (or mallet),from H1986 (הָלַם);,H1989,hammer.
1990,הָם,hawm,Hâm,"Ham, a region of Palestine",of uncertain derivation;,H1990,Ham.
1991,הֵם,haym,hêm,"abundance, i.e. wealth",from H1993 (הָמָה);,H1991,any of theirs.
1992,הֵם,haym,hêm,they (only used when emphatic),or (prolonged) הֵמָּה; masculine plural from H1981 (הֲלַךְ);,H1992,"it, like, [idiom] (how, so) many (soever, more as) they (be), (the) same, [idiom] so, [idiom] such, their, them, these, they, those, which, who, whom, withal, ye."
1993,הָמָה,haw-maw',hâmâh,"to make a loud sound (like English 'hum'); by implication, to be in great commotion or tumult, to rage, war, moan, clamor",a primitive root (compare H1949 (הוּם));,H1993,"clamorous, concourse, cry aloud, be disquieted, loud, mourn, be moved, make a noise, rage, roar, sound, be troubled, make in tumult, tumultuous, be in an uproar."
1994,הִמּוֹ,him-mo',himmôw,they,"(Aramaic) or (prolonged) הִמּוֹן; (Aramaic), corresponding to H1992 (הֵם);",H1994,"[idiom] are, them, those."
1995,הָמוֹן,haw-mone',hâmôwn,"a noise, tumult, crowd; also disquietude, wealth","or הָמֹן; (Ezekiel 5:7), from H1993 (הָמָה);",H1995,"abundance, company, many, multitude, multiply, noise, riches, rumbling, sounding, store, tumult."
1996,הֲמוֹן גּוֹג,ham-one' gohg,Hămôwn Gôwg,the multitude of Gog; the fanciful name of an emblematic place in Palestine,from H1995 (הָמוֹן) and H1463 (גּוֹג);,H1996,Hamogog.
1997,הֲמוֹנָה,ham-o-naw',Hămôwnâh,Hamonah,"feminine of H1995 (הָמוֹן); multitude; , the same as H1996 (הֲמוֹן גּוֹג)",H1997,Hamonah.
1998,הֶמְיָה,hem-yaw',hemyâh,sound,from H1993 (הָמָה);,H1998,noise.
1999,הֲמֻלָּה,ham-ool-law',hămullâh,a sound,"or (too fully) הֲמוּלָּה; (Jeremiah 11:16), feminine passive participle of an unused root meaning to rush (as rain with a windy roar);",H1999,"speech, tumult."
2000,הָמַם,haw-mam',hâmam,"properly, to put in commotion; by implication, to disturb, drive, destroy","a primitive root (compare H1949 (הוּם), H1993 (הָמָה));",H2000,"break, consume, crush, destroy, discomfit, trouble, vex."
2001,הָמָן,haw-mawn',Hâmân,"Haman, a Persian vizier",of foreign derivation;,H2001,Haman.
2002,הַמְנִיךְ,ham-neek',hamnîyk,a necklace,(Aramaic) but the text is הֲמוּנֵךְ; of foreign origin;,H2002,chain.
2003,הָמָס,haw-mawce',hâmâç,a dry twig or brushwood,from an unused root apparently meaning to crackle;,H2003,melting.
2004,הֵן,hane,hên,they (only used when emphatic),feminine plural from H1931 (הוּא);,H2004,"[idiom] in, such like, (with) them, thereby, therein, (more than) they, wherein, in which, whom, withal."
2005,הֵן,hane,hên,lo!; also (as expressing surprise) if,a primitive particle;,H2005,"behold, if, lo, though."
2006,הֵן,hane,hên,"lo! also there(-fore), (un-) less, whether, but, if",(Aramaic) corresponding to H2005 (הֵן);,H2006,"(that) if, or, whether."
2007,הֵנָּה,hane'-naw,hênnâh,"themselves (often used emphatic for the copula, also in indirect relation)",prolongation for H2004 (הֵן);,H2007,"[idiom] in, [idiom] such (and such things), their, (into) them, thence, therein, these, they (had), on this side, whose, wherein."
2008,הֵנָּה,hane'-naw,hênnâh,hither or thither (but used both of place and time),from H2004 (הֵן);,H2008,"here, hither(-to), now, on this (that) side, [phrase] since, this (that) way, thitherward, [phrase] thus far, to...fro, [phrase] yet."
2009,הִנֵּה,hin-nay',hinnêh,lo!,prolongation for H2005 (הֵן);,H2009,"behold, lo, see."
2010,הֲנָחָה,han-aw-khaw',hănâchâh,"permission of rest, i.e. quiet",from H5117 (נוּחַ);,H2010,release.
2011,הִנֹּם,hin-nome',Hinnôm,"Hinnom, apparently a Jebusite",probably of foreign origin;,H2011,Hinnom.
2012,הֵנַע,hay-nah',Hênaʻ,"Hena, a place apparently in Mesopotamia",probably of foreign derivation;,H2012,Hena.
2013,הָסָה,haw-saw',hâçâh,to hush,a primitive root;,H2013,"hold peace (tongue), (keep) silence, be silent, still."
2014,הֲפֻגָה,haf-oo-gaw',hăphugâh,relaxation,from H6313 (פּוּג);,H2014,intermission.
2015,הָפַךְ,haw-fak',hâphak,"to turn about or over; by implication, to change, overturn, return, pervert",a primitive root;,H2015,"[idiom] become, change, come, be converted, give, make (a bed), overthrow (-turn), perverse, retire, tumble, turn (again, aside, back, to the contrary, every way)."
2016,הֶפֶךְ,heh'-fek,hephek,"a turn, i.e. the reverse",; or הֵפֶךְ; from H2015 (הָפַךְ);,H2016,contrary.
2017,הֹפֶךְ,ho'-fek,hôphek,"an upset, i.e. (abstract) perversity",from H2015 (הָפַךְ);,H2017,turning of things upside down.
2018,הֲפֵכָה,haf-ay-kaw',hăphêkâh,destruction,feminine of H2016 (הֶפֶךְ);,H2018,overthrow.
2019,הֲפַכְפַּךְ,haf-ak-pak',hăphakpak,very perverse,by reduplication from H2015 (הָפַךְ);,H2019,froward.
2020,הַצָּלָה,hats-tsaw-law',hatstsâlâh,rescue,from H5337 (נָצַל);,H2020,deliverance.
2021,הֹצֶן,ho'-tsen,hôtsen,a weapon of war,from an unused root meaning apparently to be sharp or strong;,H2021,chariot.
2022,הַר,har,har,a mountain or range of hills (sometimes used figuratively),a shortened form of H2042 (הָרָר);,H2022,"hill (country), mount(-ain), [idiom] promotion."
2023,הֹר,hore,Hôr,"Hor, the name of a peak in Idumaea and of one in Syria",another form of H2022 (הַר); mountain;,H2023,Hor.
2024,הָרָא,haw-raw',Hârâʼ,"Hara, a region of Media",perhaps from H2022 (הַר); mountainousness;,H2024,Hara.
2025,הַרְאֵל,har-ale',harʼêl,"mount of God; figuratively, the altar of burnt-offering",from H2022 (הַר) and H410 (אֵל);,H2025,altar. Compare H739 (אֲרִיאֵל).
2026,הָרַג,haw-rag',hârag,to smite with deadly intent,a primitive root;,H2026,"destroy, out of hand, kill, murder(-er), put to (death), make (slaughter), slay(-er), [idiom] surely."
