id,pronunciation,lemma,transliteration,definition,strongsNumber,englishWord
1209,dekh'-om-ahee,δέχομαι,déchomai,"[δέχομαι] middle voice of a primary verb; to receive (in various applications, literally or figuratively) Compare {{g2983}}.",g1209,"receive 52, take 4, accept 2, take up 1"
1210,deh'-o,δέω,déō,"[δέω] a primary verb; to bind (in various applications, literally or figuratively) See also {{g1163}}, {{g1189}}.",g1210,"bind 37, tie 4, knit 1, be in bonds 1, wind 1"
1211,day,δή,dḗ,"[δή] probably akin to {{g1161}}; a particle of emphasis or explicitness; now, then, etc.",g1211,"also 1, now 1, and 1, therefore 1, doubtless 1, not tr 1"
1212,day'-los,δῆλος,dēlos,[δῆλος] of uncertain derivation; clear,g1212,"bewray + \\4160\\ 1, manifest 1, evident 1, certain 1"
1213,day-lo'-o,δηλόω,dēlóō,[δηλόω] from {{g1212}}; to make plain (by words),g1213,"declare 3, signify 3, show 1"
1214,day-mas',Δημᾶς,Dēmâs,"[Δημᾶς] probably for {{g1216}}; Demas, a Christian",g1214,Demas 3
1215,day-may-gor-eh'-o,δημηγορέω,dēmēgoréō,"[δημηγορέω] from a compound of {{g1218}} and {{g58}}; to be a people-gatherer, i.e. to address a public assembly",g1215,make an oration 1
1216,day-may'-tree-os,Δημήτριος,Dēmḗtrios,"[Δημήτριος] from Δημήτηρ (Ceres); Demetrius, the name of an Ephesian and of a Christian",g1216,Demetrius 3
1217,day-me-oor-gos',δημιουργός,dēmiourgós,"[δημιουργός] from {{g1218}} and {{g2041}}; a worker for the people, i.e. mechanic (spoken of the Creator)",g1217,maker 1
1218,day'-mos,δῆμος,dēmos,[δῆμος] from {{g1210}}; the public (as bound together socially),g1218,people 4
1219,day-mos'ee-os,δημόσιος,dēmósios,[δημόσιος] from {{g1218}}; public; (feminine singular dative case as adverb) in public,g1219,"common 1, openly 1, publicly 2"
1220,day-nar'-ee-on,δηνάριον,dēnárion,[δηνάριον] of Latin origin; a denarius (or ten asses),g1220,"penny 9, pence 5, pennyworth 2"
1221,day'-pot-eh,δήποτε,dḗpote,"[δήποτε] from {{g1211}} and {{g4218}}; a particle of generalization; indeed, at any time",g1221,whatsoever + \\3769\\ 1
1222,day'-poo,δήπου,dḗpou,[δήπου] from {{g1211}} and {{g4225}}; a particle of asseveration; indeed doubtless,g1222,verily 1
1223,dee-ah',διά,diá,"[διά] a primary preposition denoting the channel of an act; through (in very wide applications, local, causal, or occasional) In composition it retains the same general importance.",g1223,"by 241, through 88, with 16, for 58, for ... sake 47, therefore + \\5124\\ 44, for this cause + \\5124\\ 14, because 52, misc 86"
1224,dee-ab-ah'-ee-no,διαβαίνω,diabaínō,[διαβαίνω] from {{g1223}} and the base of {{g939}}; to cross,g1224,"pass 1, come over 1, pass through 1"
1225,dee-ab-al'-lo,διαβάλλω,diabállō,[διαβάλλω] from {{g1223}} and {{g906}}; (figuratively) to traduce,g1225,accuse 1
1226,dee-ab-eb-ahee-o'-om-ahee,διαβεβαιόομαι,diabebaióomai,"[διαβεβαιόομαι] middle voice of a compound of {{g1223}} and {{g950}}; to confirm thoroughly (by words), i.e. asseverate",g1226,"affirm 1, affirm constantly 1"
1227,dee-ab-lep'-o,διαβλέπω,diablépō,"[διαβλέπω] from {{g1223}} and {{g991}}; to look through, i.e. recover full vision",g1227,see clearly 2
1228,dee-ab'-ol-os,διάβολος,diábolos,"[διάβολος] from {{g1225}}; a traducer; specially, Satan (compare {{h7854}})",g1228,"devil 35, false accuser 2, slanderer 1"
1229,de-ang-gel'-lo,διαγγέλλω,diangéllō,[διαγγέλλω] from {{g1223}} and the base of {{g32}}; to herald thoroughly,g1229,"preach 1, signify 1, declare 1"
1230,dee-ag-in'-om-ahee,διαγίνομαι,diagínomai,[διαγίνομαι] from {{g1223}} and {{g1096}}; to elapse meanwhile,g1230,"be past 1, after 1, be spent 1"
1231,dee-ag-in-o'-sko,διαγινώσκω,diaginṓskō,"[διαγινώσκω] from {{g1223}} and {{g1097}}; to know thoroughly, i.e. ascertain exactly",g1231,"enquire 1, know the uttermost 1"
1232,dee-ag-no-rid'-zo,διαγνωρίζω,diagnōrízō,[διαγνωρίζω] from {{g1123}} and {{g1107}}; to tell abroad,g1232,make known abroad 1
1233,dee-ag'-no-sis,διάγνωσις,diágnōsis,"""[διάγνωσις] from {{g1231}}; (magisterial) examination (""diagnosis"")"",g1233,""hearing 1",NULL,
1234,dee-ag-ong-good'-zo,διαγογγύζω,diagongýzō,[διαγογγύζω] from {{g1223}} and {{g1111}}; to complain throughout a crowd,g1234,murmur 2
1235,dee-ag-ray-gor-eh'-o,διαγρηγορέω,diagrēgoréō,[διαγρηγορέω] from {{g1223}} and {{g1127}}; to waken thoroughly,g1235,be awake 1
1236,dee-ag'-o,διάγω,diágō,[διάγω] from {{g1223}} and {{g71}}; to pass time or life,g1236,"lead a life + \\979\\ 1, living 1"
1237,dee-ad-ekh'-om-ahee,διαδέχομαι,diadéchomai,"[διαδέχομαι] from {{g1223}} and {{g1209}}; to receive in turn, i.e. (figuratively) succeed to",g1237,come after 1
1238,dee-ad'-ay-mah,διάδημα,diádēma,"""[διάδημα] from a compound of {{g1223}} and {{g1210}}; a ""diadem"" (as bound about the head) Compare {{g4735}}."",g1238,""crown 3",NULL,
1239,dee-ad-id'-o-mee,διαδίδωμι,diadídōmi,"[διαδίδωμι] from {{g1223}} and {{g1325}}; to give throughout a crowd, i.e. deal out; also to deliver over (as to a successor)",g1239,"distribute 2, make distribution 1, divide 1, give 1"
1240,dee-ad'-okh-os,διάδοχος,diádochos,[διάδοχος] from {{g1237}}; a successor in office,g1240,come into (one's) room + \\2983\\ 1
1241,dee-az-own'-noo-mee,διαζώννυμι,diazṓnnymi,[διαζώννυμι] from {{g1223}} and {{g2224}}; to gird tightly,g1241,gird 3
1242,dee-ath-ay'-kay,διαθήκη,diathḗkē,"[διαθήκη] from {{g1303}}; properly, a disposition, i.e. (specially) a contract (especially a devisory will)",g1242,"covenant 20, testament 13"
1243,dee-ah'-ee-res-is,διαίρεσις,diaíresis,[διαίρεσις] from {{g1244}}; a distinction or (concretely) variety,g1243,"diversity 2, difference 1"
1244,dee-ahee-reh'-o,διαιρέω,diairéō,"[διαιρέω] from {{g1223}} and {{g138}}; to separate, i.e. distribute",g1244,divide 2
1245,dee-ak-ath-ar-id'-zo,διακαθαρίζω,diakatharízō,"[διακαθαρίζω] from {{g1223}} and {{g2511}}; to cleanse perfectly, i.e. (specially) winnow",g1245,throughly purged 2
1246,dee-ak-at-el-eng'-khom-ahee,διακατελέγχομαι,diakatelénchomai,"[διακατελέγχομαι] middle voice from {{g1223}} and a compound of {{g2596}} and {{g1651}}; to prove downright, i.e. confute",g1246,convince 1
1247,dee-ak-on-eh'-o,διακονέω,diakonéō,"[διακονέω] from {{g1249}}; to be an attendant, i.e. wait upon (menially or as a host, friend, or (figuratively) teacher); technically, to act as a Christian deacon",g1247,"minister unto 15, serve 10, minister 7, misc 5"
1248,dee-ak-on-ee'-ah,διακονία,diakonía,"[διακονία] from {{g1249}}; attendance (as a servant, etc.); figuratively (eleemosynary) aid, (official) service (especially of the Christian teacher, or technically of the diaconate)",g1248,"ministry 16, ministration 6, ministering 3, misc 9"
1249,dee-ak'-on-os,διάκονος,diákonos,"[διάκονος] probably from an obsolete διάκω (to run on errands; compare {{g1377}}); an attendant, i.e. (genitive case) a waiter (at table or in other menial duties); specially, a Christian teacher and pastor (technically, a deacon or deaconess)",g1249,"minister 20, servant 8, deacon 3"
1250,dee-ak-os'-ee-oy,διακόσιοι,diakósioi,[διακόσιοι] from {{g1364}} and {{g1540}}; two hundred,g1250,two hundred 8
1251,dee-ak-oo'-om-ahee,διακούομαι,diakoúomai,"[διακούομαι] middle voice from {{g1223}} and {{g191}}; to hear throughout, i.e. patiently listen (to a prisoner's plea)",g1251,hear 1
1252,dee-ak-ree'-no,διακρίνω,diakrínō,"[διακρίνω] from {{g1223}} and {{g2919}}; to separate thoroughly, i.e. (literally and reflexively) to withdraw from, or (by implication) oppose; figuratively, to discriminate (by implication, decide), or (reflexively) hesitate",g1252,"doubt 5, judge 3, discern 2, contend 2, waver 2, misc 5"
1253,dee-ak'-ree-sis,διάκρισις,diákrisis,[διάκρισις] from {{g1252}}; judicial estimation,g1253,"discerning 1, discern 1, disputation 1"
1254,dee-ak-o-loo'-o,διακωλύω,diakōlýō,"[διακωλύω] from {{g1223}} and {{g2967}}; to hinder altogether, i.e. utterly prohibit",g1254,forbid 1
1255,dee-al-al-eh'-o,διαλαλέω,dialaléō,"[διαλαλέω] from {{g1223}} and {{g2980}}; to talk throughout a company, i.e. converse or (genitive case) publish",g1255,"noise abroad 1, commune 1"
1256,dee-al-eg'-om-ahee,διαλέγομαι,dialégomai,"[διαλέγομαι] middle voice from {{g1223}} and {{g3004}}; to say thoroughly, i.e. discuss (in argument or exhortation)",g1256,"dispute 6, reason with 2, reason 2, preach unto 1, preach 1, speak 1"
1257,dee-al-i'-po,διαλείπω,dialeípō,"[διαλείπω] from {{g1223}} and {{g3007}}; to leave off in the middle, i.e. intermit",g1257,cease 1
1258,dee-al'-ek-tos,διάλεκτος,diálektos,"""[διάλεκτος] from {{g1256}}; a (mode of) discourse, i.e. ""dialect"""",g1258,""tongue 5, language 1",NULL,
1259,dee-al-las'-so,διαλλάσσω,diallássō,"[διαλλάσσω] from {{g1223}} and {{g236}}; to change thoroughly, i.e. (mentally) to conciliate",g1259,reconcile 1
1260,dee-al-og-id'-zom-ahee,διαλογίζομαι,dialogízomai,"[διαλογίζομαι] from {{g1223}} and {{g3049}}; to reckon thoroughly, i.e. (genitive case) to deliberate (by reflection or discussion)",g1260,"reason 11, dispute 1, cast in the mind 1, muse 1, think 1, consider 1"
1261,dee-al-og-is-mos',διαλογισμός,dialogismós,"[διαλογισμός] from {{g1260}}; discussion, i.e. (internal) consideration (by implication, purpose), or (external) debate",g1261,"thought 9, reasoning 1, imagination 1, doubtful 1, disputing 1, doubting 1"
1262,dee-al-oo'-o,διαλύω,dialýō,[διαλύω] from {{g1223}} and {{g3089}}; to dissolve utterly,g1262,scatter 1
1263,dee-am-ar-too'-rom-ahee,διαμαρτύρομαι,diamartýromai,"[διαμαρτύρομαι] from {{g1223}} and {{g3140}}; to attest or protest earnestly, or (by implication) hortatively",g1263,"testify 11, charge 3, witness 1"
1264,dee-am-akh'-om-ahee,διαμάχομαι,diamáchomai,[διαμάχομαι] from {{g1223}} and {{g3164}}; to fight fiercely (in altercation),g1264,strive 1
1265,dee-am-en'-o,διαμένω,diaménō,[διαμένω] from {{g1223}} and {{g3306}}; to stay constantly (in being or relation),g1265,"continue 3, remain 2"
1266,dee-am-er-id'-zo,διαμερίζω,diamerízō,"[διαμερίζω] from {{g1223}} and {{g3307}}; to partition thoroughly (literally in distribution, figuratively in dissension)",g1266,"part 6, divide 5, cloven 1"
1267,dee-am-er-is-mos',διαμερισμός,diamerismós,[διαμερισμός] from {{g1266}}; disunion (of opinion and conduct),g1267,division 1
1268,dee-an-em'-o,διανέμω,dianémō,"[διανέμω] from {{g1223}} and the base of {{g3551}}; to distribute, i.e. (of information) to disseminate",g1268,spread 1
1269,dee-an-yoo'-o,διανεύω,dianeúō,[διανεύω] from {{g1223}} and {{g3506}}; to nod (or express by signs) across an intervening space,g1269,beckoned + \\2258\\ 1
1270,dee-an-o'-ay-mah,διανόημα,dianóēma,"[διανόημα] from a compound of {{g1223}} and {{g3539}}; something thought through, i.e. a sentiment",g1270,thought 1
1271,dee-an'-oy-ah,διάνοια,diánoia,"[διάνοια] from {{g1223}} and {{g3563}}; deep thought, properly, the faculty (mind or its disposition), by implication, its exercise",g1271,"mind 9, understanding 3, imagination 1"
1272,dee-an-oy'-go,διανοίγω,dianoígō,"[διανοίγω] from {{g1223}} and {{g455}}; to open thoroughly, literally (as a first-born) or figuratively (to expound)",g1272,open 8
1273,dee-an-ook-ter-yoo'-o,διανυκτερεύω,dianyktereúō,[διανυκτερεύω] from {{g1223}} and a derivative of {{g3571}}; to sit up the whole night,g1273,continued all night + \\2258\\ 1
1274,dee-an-oo'-o,διανύω,dianýō,[διανύω] from {{g1223}} and ἀνύω (to effect); to accomplish thoroughly,g1274,finish 1
1275,dee-ap-an-tos',διαπαντός,diapantós,"[διαπαντός] from {{g1223}} and the genitive case of {{g3956}}; through all time, i.e. (adverbially) constantly",g1275,"always 5, continually 2"
1276,dee-ap-er-ah'-o,διαπεράω,diaperáō,[διαπεράω] from {{g1223}} and a derivative of the base of {{g4008}}; to cross entirely,g1276,"pass over 3, go over 1, pass 1, sail over 1"
1277,dee-ap-leh'-o,διαπλέω,diapléō,[διαπλέω] from {{g1223}} and {{g4126}}; to sail through,g1277,sail over 1
1278,dee-ap-on-eh'-o,διαπονέω,diaponéō,"[διαπονέω] from {{g1223}} and a derivative of {{g4192}}; to toil through, i.e. (passively) be worried",g1278,grieve 2
1279,dee-ap-or-yoo'-om-ahee,διαπορεύομαι,diaporeúomai,[διαπορεύομαι] from {{g1223}} and {{g4198}}; to travel through,g1279,"go through 3, pass by 1, in (one's) journey 1"
1280,dee-ap-or-eh'-o,διαπορέω,diaporéō,[διαπορέω] from {{g1223}} and {{g639}}; to be thoroughly nonplussed,g1280,"doubt 2, be perplexed 1, be much perplexed 1, be in doubt 1"
1281,dee-ap-rag-mat-yoo'-om-ahee,διαπραγματεύομαι,diapragmateúomai,"[διαπραγματεύομαι] from {{g1223}} and {{g4231}}; to thoroughly occupy oneself, i.e. (transitively and by implication) to earn in business",g1281,gain by trading 1
1282,dee-ap-ree'-o,διαπρίω,diapríō,"[διαπρίω] from {{g1223}} and the base of {{g4249}}; to saw asunder, i.e. (figuratively) to exasperate",g1282,"be cut to the heart 1, be cut 1"
1283,dee-ar-pad'-zo,διαρπάζω,diarpázō,"[διαρπάζω] from {{g1223}} and {{g726}}; to seize asunder, i.e. plunder",g1283,spoil 4
1284,dee-ar-hrayce'-so,διαῤῥήσσω,diarrhḗssō,[διαῤῥήσσω] from {{g1223}} and {{g4486}}; to tear asunder,g1284,"rend 3, break 2"
1285,dee-as-af-eh'-o,διασαφέω,diasaphéō,"[διασαφέω] from {{g1223}} and σαφής (clear); to clear thoroughly, i.e. (figuratively) declare",g1285,tell unto 1
1286,dee-as-i'-o,διασείω,diaseíō,"[διασείω] from {{g1223}} and {{g4579}}; to shake thoroughly, i.e. (figuratively) to intimidate",g1286,do violence to 1
1287,dee-as-kor-pid'-zo,διασκορπίζω,diaskorpízō,"[διασκορπίζω] from {{g1223}} and {{g4650}}; to dissipate, i.e. (genitive case) to rout or separate; specially, to winnow; figuratively, to squander",g1287,"straw 2, scatter abroad 2, scatter 2, waste 2, disperse 1"
1288,dee-as-pah'-o,διασπάω,diaspáō,"[διασπάω] from {{g1223}} and {{g4685}}; to draw apart, i.e. sever or dismember",g1288,"pluck asunder 1, pull in pieces 1"
1289,dee-as-pi'-ro,διασπείρω,diaspeírō,"[διασπείρω] from {{g1223}} and {{g4687}}; to sow throughout, i.e. (figuratively) distribute in foreign lands",g1289,scatter abroad 3
1290,dee-as-por-ah',διασπορά,diasporá,"[διασπορά] from {{g1289}}; dispersion, i.e. (specially and concretely) the (converted) Israelite resident in Gentile countries",g1290,"dispersed 1, scatter abroad 1, scattered 1"
1291,dee-as-tel'-lom-ahee,διαστέλλομαι,diastéllomai,"[διαστέλλομαι] middle voice from {{g1223}} and {{g4724}}; to set (oneself) apart (figuratively, distinguish), i.e. (by implication) to enjoin",g1291,"charge 6, give commandment 1, be commanded 1"
1292,dee-as'-tay-mah,διάστημα,diástēma,[διάστημα] from {{g1339}}; an interval,g1292,space 1
1293,dee-as-tol-ay',διαστολή,diastolḗ,[διαστολή] from {{g1291}}; a variation,g1293,"difference 2, distinction 1"
1294,dee-as-tref'-o,διαστρέφω,diastréphō,"[διαστρέφω] from {{g1223}} and {{g4762}}; to distort, i.e. (figuratively) misinterpret, or (morally) corrupt",g1294,"perverse 4, pervert 2, turn away 1"
1295,dee-as-odze'-o,διασώζω,diasṓzō,"[διασώζω] from {{g1223}} and {{g4982}}; to save thoroughly, i.e. (by implication or analogy) to cure, preserve, rescue, etc.",g1295,"escape 2, save 2, make perfectly whole 1, escape safe 1, bring safe 1, heal 1"
1296,dee-at-ag-ay',διαταγή,diatagḗ,"[διαταγή] from {{g1299}}; arrangement, i.e. institution",g1296,"disposition 1, ordinance 1"
1297,dee-at'-ag-mah,διάταγμα,diátagma,"[διάταγμα] from {{g1299}}; an arrangement, i.e. (authoritative) edict",g1297,commandment 1
1298,dee-at-ar-as'-so,διαταράσσω,diatarássō,"[διαταράσσω] from {{g1223}} and {{g5015}}; to disturb wholly, i.e. agitate (with alarm)",g1298,trouble 1
1299,dee-at-as'-so,διατάσσω,diatássō,"[διατάσσω] from {{g1223}} and {{g5021}}; to arrange thoroughly, i.e. (specially) institute, prescribe, etc.",g1299,"command 7, appoint 4, ordain 3, set in order 1, give order 1"
1300,dee-at-el-eh'-o,διατελέω,diateléō,"[διατελέω] from {{g1223}} and {{g5055}}; to accomplish thoroughly, i.e. (subjectively) to persist",g1300,continue 1
1301,dee-at-ay-reh'-o,διατηρέω,diatēréō,"[διατηρέω] from {{g1223}} and {{g5083}}; to watch thoroughly, i.e. (positively and transitively) to observe strictly, or (negatively and reflexively) to avoid wholly",g1301,keep 2
1302,dee-at-ee',διατί,diatí,"[διατί] from {{g1223}} and {{g5101}}; through what cause ?, i.e. why?",g1302,"why 23, wherefore 4"
1303,dee-at-ith'-em-ahee,διατίθεμαι,diatíthemai,"[διατίθεμαι] middle voice from {{g1223}} and {{g5087}}; to put apart, i.e. (figuratively) dispose (by assignment, compact, or bequest)",g1303,"make 3, testator 2, appoint 2"
1304,dee-at-ree'-bo,διατρίβω,diatríbō,"[διατρίβω] from {{g1223}} and the base of {{g5147}}; to wear through (time), i.e. remain",g1304,"abide 5, tarry 2, continue 2, be 1"
1305,dee-at-rof-ay',διατροφή,diatrophḗ,[διατροφή] from a compound of {{g1223}} and {{g5142}}; nourishment,g1305,food 1
1306,dee-ow-gad'-zo,διαυγάζω,diaugázō,"[διαυγάζω] from {{g1223}} and {{g826}}; to glimmer through, i.e. break (as day)",g1306,dawn 1
1307,dee-af-an-ace',διαφανής,diaphanḗs,"""[διαφανής] from {{g1223}} and {{g5316}}; appearing through, i.e. ""diaphanous"""",g1307,""transparent 1",NULL,
1308,dee-af-er'-o,διαφέρω,diaphérō,"""[διαφέρω] from {{g1223}} and {{g5342}}; to bear through, i.e. (literally) transport; usually to bear apart, i.e. (objectively) to toss about (figuratively, report); subjectively, to ""differ"", or (by implication) surpass"",g1308,""be better 3, be of more value 2, differ from 2, should carry 1, publish 1, drive up and down 1, misc 3",NULL,
1309,dee-af-yoo'-go,διαφεύγω,diapheúgō,"[διαφεύγω] from {{g1223}} and {{g5343}}; to flee through, i.e. escape",g1309,escape 1
1310,dee-af-ay-mid'-zo,διαφημίζω,diaphēmízō,"[διαφημίζω] from {{g1223}} and a derivative of {{g5345}}; to report thoroughly, i.e. divulgate",g1310,"spread abroad (one's) fame 1, be commonly reported 1, blaze abroad 1"
1311,dee-af-thi'-ro,διαφθείρω,diaphtheírō,"[διαφθείρω] from {{g1225}} and {{g5351}}; to rot thoroughly, i.e. (by implication) to ruin (passively, decay utterly, figuratively, pervert)",g1311,"destroy 3, corrupt 2, perish 1"
1312,dee-af-thor-ah',διαφθορά,diaphthorá,[διαφθορά] from {{g1311}}; decay,g1312,corruption 6
1313,dee-af'-or-os,διάφορος,diáphoros,[διάφορος] from {{g1308}}; varying; also surpassing,g1313,"more excellent 2, differing 1, divers 1"
1314,dee-af-oo-las'-so,διαφυλάσσω,diaphylássō,"[διαφυλάσσω] from {{g1223}} and {{g5442}}; to guard thoroughly, i.e. protect",g1314,keep 1
1315,dee-akh-i-rid'-zom-ahee,διαχειρίζομαι,diacheirízomai,"[διαχειρίζομαι] from {{g1223}} and a derivative of {{g5495}}; to handle thoroughly, i.e. lay violent hands upon",g1315,"slay 1, kill 1"
1316,dee-akh-o-rid'-zom-ahee,διαχωρίζομαι,diachōrízomai,"[διαχωρίζομαι] from {{g1223}} and the middle voice of {{g5563}}; to remove (oneself) wholly, i.e. retire",g1316,depart 1
1317,did-ak-tik-os',διδακτικός,didaktikós,"""[διδακτικός] from {{g1318}}; instructive (""didactic"")"",g1317,""apt to teach 2",NULL,
1318,did-ak-tos',διδακτός,didaktós,"[διδακτός] from {{g1321}}; (subjectively) instructed, or (objectively) communicated by teaching",g1318,"which (one) teacheth 2, taught 1"
1319,did-as-kal-ee'-ah,διδασκαλία,didaskalía,[διδασκαλία] from {{g1320}}; instruction (the function or the information),g1319,"doctrine 19, teaching 1, learning 1"
1320,did-as'-kal-os,διδάσκαλος,didáskalos,[διδάσκαλος] from {{g1321}}; an instructor (genitive case or specially),g1320,"Master (Jesus) 40, teacher 10, master 7, doctor 1"
1321,did-as'-ko,διδάσκω,didáskō,[διδάσκω] a prolonged (causative) form of a primary verb δάω (to learn); to teach (in the same broad application),g1321,"teach 93, taught + \\2258\\ 4"
1322,did-akh-ay',διδαχή,didachḗ,[διδαχή] from {{g1321}}; instruction (the act or the matter),g1322,"doctrine 29, has been taught 1"
1323,did'-rakh-mon,δίδραχμον,dídrachmon,[δίδραχμον] from {{g1364}} and {{g1406}}; a double drachma (didrachm),g1323,"tribute 1, tribute money 1"
1324,did'-oo-mos,Δίδυμος,Dídymos,"[Δίδυμος] prolongation from {{g1364}}; double, i.e. twin; Didymus, a Christian",g1324,Didymus 3
1325,did'-o-mee,δίδωμι,dídōmi,"[δίδωμι] a prolonged form of a primary verb (which is used as an alternative in most of the tenses); to give (used in a very wide application, properly, or by implication, literally or figuratively; greatly modified by the connection)",g1325,"give 365, grant 10, put 5, show 4, deliver 2, make 2, misc 25"
1326,dee-eg-i'-ro,διεγείρω,diegeírō,[διεγείρω] from {{g1223}} and {{g1453}}; to wake fully; i.e. arouse (literally or figuratively),g1326,"awake 2, arise 2, stir up 2, raise 1"
1327,dee-ex'-od-os,διέξοδος,diéxodos,"[διέξοδος] from {{g1223}} and {{g1841}}; an outlet through, i.e. probably an open square (from which roads diverge)",g1327,highway + \\3598\\ + \\3588\\ 1
1328,dee-er-main-yoo-tace',διερμηνευτής,diermēneutḗs,[διερμηνευτής] from {{g1329}}; an explainer,g1328,interpreter 1
1329,dee-er-main-yoo'-o,διερμηνεύω,diermēneúō,"[διερμηνεύω] from {{g1223}} and {{g2059}}; to explain thoroughly, by implication, to translate",g1329,"interpret 4, by interpretation 1, expound 1"
1330,dee-er'-khom-ahee,διέρχομαι,diérchomai,[διέρχομαι] from {{g1223}} and {{g2064}}; to traverse (literally),g1330,"pass 8, pass through 7, go 7, go over 3, go through 2, walk 2, misc 13, vr to go 1"
1331,dee-er-o-tah'-o,διερωτάω,dierōtáō,"[διερωτάω] from {{g1223}} and {{g2065}}; to question throughout, i.e. ascertain by interrogation",g1331,make enquiry for 1
1332,dee-et-ace',διετής,dietḗs,[διετής] from {{g1364}} and {{g2094}}; of two years (in age),g1332,two years old 1
1333,dee-et-ee'-a,διετία,dietía,[διετία] from {{g1332}}; a space of two years (biennium),g1333,two years 2
1334,dee-ayg-eh'-om-ahee,διηγέομαι,diēgéomai,[διηγέομαι] from {{g1223}} and {{g2233}}; to relate fully,g1334,"tell 4, declare 3, show 1"
1335,dee-ayg'-es-is,διήγεσις,diḗgesis,[διήγεσις] from {{g1334}}; a recital,g1335,declaration 1
1336,dee-ay-nek-es',διηνεκής,diēnekḗs,"[διηνεκής] neuter of a compound of {{g1223}} and a derivative of an alternate of {{g5342}}; carried through, i.e. (adverbially with {{g1519}} and {{g3588}} prefixed) perpetually",g1336,"continually + \\1519\\ 2, for ever + \\1519\\ 2"
1337,dee-thal'-as-sos,διθάλασσος,dithálassos,"[διθάλασσος] from {{g1364}} and {{g2281}}; having two seas, i.e. a sound with a double outlet",g1337,where two seas meet 1
1338,dee-ik-neh'-om-ahee,διϊκνέομαι,diïknéomai,"[διϊκνέομαι] from {{g1223}} and the base of {{g2425}}; to reach through, i.e. penetrate",g1338,pierce 1
1339,dee-is'-tay-mee,διΐστημι,diḯstēmi,"[διΐστημι] from {{g1223}} and {{g2476}}; to stand apart, i.e. (reflexively) to remove, intervene",g1339,"the space of ... after 1, go further 1, be parted 1"
1340,dee-is-khoo-rid'-zom-ahee,διϊσχυρίζομαι,diïschyrízomai,"[διϊσχυρίζομαι] from {{g1223}} and a derivative of {{g2478}}; to stout it through, i.e. asservate",g1340,"confidently affirm 1, constantly affirm 1"
1341,dik-ah-yok-ris-ee'-ah,δικαιοκρισία,dikaiokrisía,[δικαιοκρισία] from {{g1342}} and {{g2920}}; a just sentence,g1341,righteous judgment 1
1342,dik'-ah-yos,δίκαιος,díkaios,"[δίκαιος] from {{g1349}}; equitable (in character or act); by implication, innocent, holy (absolutely or relatively)",g1342,"righteous 41, just 33, right 5, meet 2"
1343,dik-ah-yos-oo'-nay,δικαιοσύνη,dikaiosýnē,[δικαιοσύνη] from {{g1342}}; equity (of character or act); specially (Christian) justification,g1343,righteousness 92
1344,dik-ah-yo'-o,δικαιόω,dikaióō,[δικαιόω] from {{g1342}}; to render (i.e. show or regard as) just or innocent,g1344,"justify 37, be freed 1, be righteous 1, justifier 1"
1345,dik-ah'-yo-mah,δικαίωμα,dikaíōma,"[δικαίωμα] from {{g1344}}; an equitable deed; by implication, a statute or decision",g1345,"righteousness 4, ordinance 3, judgment 2, justification 1"
1346,dik-ah'-yoce,δικαίως,dikaíōs,[δικαίως] adverb from {{g1342}}; equitably,g1346,"justly 2, righteously 2, to righteousness 1"
1347,dik-ah'-yo-sis,δικαίωσις,dikaíōsis,[δικαίωσις] from {{g1344}}; aquittal (for Christ's sake),g1347,justification 2
1348,dik-as-tace',δικαστής,dikastḗs,[δικαστής] from a derivative of {{g1349}}; a judger,g1348,judge 3
1349,dee'-kay,δίκη,díkē,"[δίκη] probably from {{g1166}}; right (as self-evident), i.e. justice (the principle, a decision, or its execution)",g1349,"vengeance 2, judgment 1, punish + \\5099\\ 1"
1350,dik'-too-on,δίκτυον,díktyon,[δίκτυον] probably from a primary verb δίκω (to cast); a seine (for fishing),g1350,net 12
1351,dil'-og-os,δίλογος,dílogos,"[δίλογος] from {{g1364}} and {{g3056}}; equivocal, i.e. telling a different story",g1351,doubletongued 1
1352,dee-o',διό,dió,"[διό] from {{g1223}} and {{g3739}}; through which thing, i.e. consequently",g1352,"wherefore 41, therefore 10, for which cause 2"
1353,dee-od-yoo'-o,διοδεύω,diodeúō,[διοδεύω] from {{g1223}} and {{g3593}}; to travel through,g1353,"go throughout 1, pass through 1"
1354,dee-on-oo'-see-os,Διονύσιος,Dionýsios,"[Διονύσιος] from Διόνυσος (Bacchus); reveller; Dionysius, an Athenian",g1354,Dionysius 1
1355,dee-op'-er,διόπερ,dióper,[διόπερ] from {{g1352}} and {{g4007}}; on which very account,g1355,wherefore 3
1356,dee-op-et'-ace,διοπετής,diopetḗs,[διοπετής] from the alternate of {{g2203}} and the alternate of {{g4098}}; sky-fallen (i.e. an aerolite),g1356,which fell down from Jupiter 1
1357,dee-or'-tho-sis,διόρθωσις,diórthōsis,"[διόρθωσις] from a compound of {{g1223}} and a derivative of {{g3717}}, meaning to straighten thoroughly; rectification, i.e. (specially) the Messianic restauration",g1357,reformation 1
1358,dee-or-oos'-so,διορύσσω,diorýssō,[διορύσσω] from {{g1223}} and {{g3736}}; to penetrate burglariously,g1358,"break through 2, be broken up 1, be broken through 1"
1359,dee-os'-koo-roy,Διόσκουροι,Dióskouroi,"[Διόσκουροι] from the alternate of {{g2203}} and a form of the base of {{g2877}}; sons of Jupiter, i.e. the twins Dioscuri",g1359,Castor and Pollux 1
